robot_model_name,nbr_pieces_head,nbr_pieces_arms,nbr_pieces_legs,nbr_pieces_body
da Vinci Surgical System,4377,47000,97969,37320
KITT,90043,73282,18868,45540
The Tachikomas,2114,68111,75162,36340
Toyota violin-playing,63730,85704,78717,57020
GERTY,81519,26677,65519,43420
Mega Man,22714,9740,73137,26380
Rock ‘Em Sock ‘Em Robots,87886,67925,58101,53460
Doraemon,16788,85783,86233,47200
Awesom-O,7448,54163,33401,23740
HK-47,46131,58449,92296,49200
ED-209,77228,10734,54945,35720
Beer-Fetching Robot,59627,81878,23861,41340
Bishop,96414,66998,4115,41880
The Energizer Bunny,68804,14932,37880,30400
H.E.L.P.eR.,78159,8060,63274,37360
Clank,11578,84323,86292,45540
